,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
11995,-37.036,147.351,359.9,1.8,1.3,2020-01-03,2345,Terra,MODIS,99,6.0NRT,306.9,159.6,D
8397,-21.042,117.685,340.0,1.1,1.0,2020-01-03,215,Terra,MODIS,82,6.0NRT,311.0,23.4,D
3535,-21.219,118.668,308.1,1.1,1.0,2020-01-01,1440,Terra,MODIS,61,6.0NRT,287.7,6.5,N
8520,-36.001,149.558,328.6,2.9,1.6,2020-01-03,320,Aqua,MODIS,78,6.0NRT,295.2,99.8,D
7128,-22.163,146.916,322.5,1.5,1.2,2020-01-02,1515,Aqua,MODIS,100,6.0NRT,297.0,33.4,N
30740,-36.785,146.887,341.6,1.3,1.1,2020-01-16,425,Aqua,MODIS,90,6.0NRT,303.6,53.8,D
13684,-36.703,147.87,361.7,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,320.0,75.0,D
28643,-37.447,149.255,318.0,1.7,1.3,2020-01-13,1320,Terra,MODIS,96,6.0NRT,289.7,31.8,N
7061,-36.477,147.71,311.0,1.0,1.0,2020-01-02,1515,Aqua,MODIS,62,6.0NRT,283.0,11.7,N
17657,-32.617,150.71,314.3,1.0,1.0,2020-01-04,1505,Aqua,MODIS,87,6.0NRT,298.4,9.3,N
21724,-32.649,122.053,362.7,1.0,1.0,2020-01-07,155,Terra,MODIS,100,6.0NRT,314.1,64.1,D
8982,-35.843,136.76,417.4,1.1,1.0,2020-01-03,500,Aqua,MODIS,100,6.0NRT,335.0,375.1,D
1067,-28.93,128.739,358.3,1.0,1.0,2020-01-01,510,Aqua,MODIS,98,6.0NRT,321.2,52.0,D
4507,-33.204,150.172,332.1,1.6,1.2,2020-01-02,415,Aqua,MODIS,63,6.0NRT,309.1,28.4,D
26123,-19.879,144.172,320.0,3.1,1.7,2020-01-11,1340,Terra,MODIS,100,6.0NRT,292.3,71.1,N
30867,-14.243,136.825,330.2,1.9,1.3,2020-01-17,50,Terra,MODIS,78,6.0NRT,299.7,34.2,D
9804,-34.341,150.062,318.0,1.0,1.0,2020-01-03,1245,Terra,MODIS,96,6.0NRT,296.1,14.5,N
16009,-32.661,150.13,358.2,1.1,1.1,2020-01-04,405,Aqua,MODIS,85,6.0NRT,313.5,68.7,D
26858,-31.17,149.228,319.0,1.2,1.1,2020-01-12,1240,Terra,MODIS,88,6.0NRT,287.5,19.1,N
8788,-36.087,148.43,334.7,4.7,2.0,2020-01-03,455,Aqua,MODIS,80,6.0NRT,301.5,292.9,D
5683,-32.944,123.741,410.1,1.3,1.1,2020-01-02,555,Aqua,MODIS,100,6.0NRT,300.9,431.8,D
33510,-35.873,148.901,324.6,1.0,1.0,2020-01-29,355,Aqua,MODIS,54,6.0NRT,310.2,10.5,D
26754,-36.748,146.716,309.2,1.9,1.3,2020-01-12,1240,Terra,MODIS,77,6.0NRT,288.3,25.8,N
2840,-18.531,143.814,312.0,1.0,1.0,2020-01-01,1300,Terra,MODIS,83,6.0NRT,295.6,8.2,N
29391,-36.84,148.178,317.0,1.2,1.1,2020-01-14,25,Terra,MODIS,72,6.0NRT,293.3,16.6,D
15398,-35.456,148.063,452.1,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,400.1,0.0,D
15410,-35.439,148.117,377.6,1.0,1.0,2020-01-04,400,Aqua,MODIS,87,6.0NRT,298.4,121.1,D
32748,-36.014,149.318,347.7,1.1,1.0,2020-01-27,410,Aqua,MODIS,77,6.0NRT,286.9,55.1,D
3958,-34.829,150.327,327.8,1.0,1.0,2020-01-02,0,Terra,MODIS,63,6.0NRT,296.1,17.9,D
30393,-37.066,149.579,321.3,1.3,1.1,2020-01-15,345,Aqua,MODIS,63,6.0NRT,299.9,14.7,D
19837,-32.591,150.682,344.4,1.8,1.3,2020-01-05,30,Terra,MODIS,89,6.0NRT,303.2,96.4,D
26720,-36.828,148.083,313.3,1.6,1.2,2020-01-12,1240,Terra,MODIS,53,6.0NRT,284.0,25.0,N
5301,-35.848,147.651,365.0,1.1,1.0,2020-01-02,415,Aqua,MODIS,100,6.0NRT,304.2,102.5,D
12944,-37.251,146.529,399.8,1.1,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,312.1,278.6,D
19893,-21.856,119.453,342.1,1.2,1.1,2020-01-05,205,Terra,MODIS,89,6.0NRT,305.0,40.7,D
8452,-37.134,148.058,331.8,3.8,1.8,2020-01-03,320,Aqua,MODIS,55,6.0NRT,299.5,170.7,D
15497,-25.43,149.176,344.8,1.2,1.1,2020-01-04,405,Aqua,MODIS,86,6.0NRT,315.8,40.0,D
5473,-17.379,145.187,335.9,1.5,1.2,2020-01-02,420,Aqua,MODIS,68,6.0NRT,304.7,42.9,D
4589,-26.532,150.661,353.2,2.3,1.5,2020-01-02,415,Aqua,MODIS,95,6.0NRT,308.5,175.0,D
29315,-35.603,148.703,361.8,1.2,1.1,2020-01-14,25,Terra,MODIS,100,6.0NRT,301.5,117.8,D
30717,-36.883,146.795,342.1,1.3,1.1,2020-01-16,425,Aqua,MODIS,91,6.0NRT,301.0,53.3,D
28775,-27.22,145.785,315.7,1.7,1.3,2020-01-13,1325,Terra,MODIS,56,6.0NRT,295.7,24.9,N
1284,-32.016,135.786,347.5,1.5,1.2,2020-01-01,510,Aqua,MODIS,89,6.0NRT,326.4,53.0,D
31910,-36.368,149.999,332.2,1.4,1.2,2020-01-24,340,Aqua,MODIS,67,6.0NRT,296.5,39.9,D
34445,-37.211,149.071,336.6,2.1,1.4,2020-01-30,1225,Terra,MODIS,100,6.0NRT,299.4,100.4,N
18091,-34.742,150.202,361.7,1.0,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,290.5,94.4,N
31957,-34.691,150.267,351.8,1.3,1.1,2020-01-24,340,Aqua,MODIS,95,6.0NRT,301.2,73.6,D
15670,-35.257,147.906,466.3,1.0,1.0,2020-01-04,405,Aqua,MODIS,100,6.0NRT,340.7,918.4,D
24755,-31.204,149.266,359.8,2.1,1.4,2020-01-10,325,Aqua,MODIS,99,6.0NRT,311.1,210.4,D
9745,-35.011,150.061,307.7,1.0,1.0,2020-01-03,1245,Terra,MODIS,72,6.0NRT,295.6,6.7,N
6314,-30.993,123.72,373.9,1.4,1.2,2020-01-02,555,Aqua,MODIS,100,6.0NRT,317.8,171.1,D
16661,-37.221,149.6,366.3,2.2,1.4,2020-01-04,1325,Terra,MODIS,100,6.0NRT,281.3,326.1,N
32156,-35.984,150.028,334.4,1.6,1.3,2020-01-25,420,Aqua,MODIS,82,6.0NRT,293.1,46.1,D
30788,-17.953,137.858,341.9,1.0,1.0,2020-01-16,430,Aqua,MODIS,77,6.0NRT,315.5,18.1,D
32413,-35.903,149.662,394.9,2.3,1.5,2020-01-26,325,Aqua,MODIS,100,6.0NRT,305.7,708.7,D
11296,-34.331,150.338,353.9,1.4,1.2,2020-01-03,2345,Terra,MODIS,96,6.0NRT,310.8,82.1,D
25089,-37.242,149.485,318.5,1.1,1.1,2020-01-10,2355,Terra,MODIS,56,6.0NRT,297.4,13.1,D
34226,-37.508,148.06,359.0,2.2,1.4,2020-01-30,440,Aqua,MODIS,99,6.0NRT,315.0,215.4,D
400,-35.426,150.337,334.9,1.6,1.3,2020-01-01,330,Aqua,MODIS,86,6.0NRT,296.8,65.0,D
11738,-36.519,148.019,340.8,1.6,1.3,2020-01-03,2345,Terra,MODIS,87,6.0NRT,300.6,80.5,D
12169,-37.184,147.103,347.6,1.8,1.3,2020-01-03,2345,Terra,MODIS,93,6.0NRT,304.0,118.1,D
32541,-35.996,149.321,351.6,1.0,1.0,2020-01-26,1250,Terra,MODIS,100,6.0NRT,296.1,67.1,N
30087,-26.477,150.78,310.5,2.0,1.4,2020-01-14,1540,Aqua,MODIS,80,6.0NRT,291.2,23.7,N
1504,-41.659,148.04,324.2,1.1,1.0,2020-01-01,1255,Terra,MODIS,99,6.0NRT,279.0,25.9,N
21362,-31.988,121.643,313.2,1.2,1.1,2020-01-06,1455,Terra,MODIS,87,6.0NRT,293.9,15.4,N
34604,-41.573,147.778,307.9,2.8,1.6,2020-01-30,1225,Terra,MODIS,64,6.0NRT,290.9,36.6,N
22050,-32.525,123.399,347.1,2.3,1.5,2020-01-07,615,Aqua,MODIS,73,6.0NRT,316.8,114.1,D
23094,-32.644,122.268,343.0,3.4,1.7,2020-01-08,240,Terra,MODIS,82,6.0NRT,311.9,158.6,D
10113,-25.419,149.186,312.2,1.0,1.0,2020-01-03,1245,Terra,MODIS,78,6.0NRT,297.8,7.2,N
23040,-32.504,123.059,377.5,3.8,1.8,2020-01-08,240,Terra,MODIS,94,6.0NRT,309.6,852.2,D
8378,-35.869,136.592,338.1,1.2,1.1,2020-01-03,45,Terra,MODIS,89,6.0NRT,304.5,32.7,D
29208,-37.686,148.981,326.2,1.2,1.1,2020-01-13,1500,Aqua,MODIS,100,6.0NRT,290.2,29.0,N
30600,-14.024,136.424,314.3,1.4,1.2,2020-01-15,1315,Terra,MODIS,84,6.0NRT,296.5,14.6,N
7109,-36.955,148.273,306.9,1.0,1.0,2020-01-02,1515,Aqua,MODIS,70,6.0NRT,284.9,9.8,N
31364,-22.788,120.727,344.3,1.0,1.0,2020-01-21,205,Terra,MODIS,86,6.0NRT,315.6,29.5,D
1760,-37.649,148.527,335.7,1.0,1.0,2020-01-01,1255,Terra,MODIS,100,6.0NRT,290.0,36.7,N
9687,-35.568,148.171,307.7,1.2,1.1,2020-01-03,1245,Terra,MODIS,62,6.0NRT,292.8,8.1,N
29302,-35.466,148.316,370.9,1.2,1.1,2020-01-14,25,Terra,MODIS,100,6.0NRT,298.7,145.6,D
6276,-31.04,123.679,338.2,1.4,1.2,2020-01-02,555,Aqua,MODIS,77,6.0NRT,300.8,31.6,D
22225,-32.699,121.088,344.5,1.7,1.3,2020-01-07,615,Aqua,MODIS,81,6.0NRT,325.0,33.8,D
5925,-32.48,123.263,437.5,1.2,1.1,2020-01-02,555,Aqua,MODIS,99,6.0NRT,400.1,668.8,D
20001,-25.394,149.16,332.4,3.9,1.8,2020-01-05,310,Aqua,MODIS,72,6.0NRT,313.5,117.2,D
27140,-37.157,149.956,315.2,3.7,1.8,2020-01-12,1555,Aqua,MODIS,91,6.0NRT,285.2,108.5,N
33808,-35.635,148.898,336.7,1.8,1.3,2020-01-29,1320,Terra,MODIS,96,6.0NRT,291.5,86.6,N
27443,-37.461,149.702,334.2,1.0,1.0,2020-01-13,355,Aqua,MODIS,81,6.0NRT,295.4,29.6,D
17635,-32.53,150.225,315.2,1.1,1.0,2020-01-04,1505,Aqua,MODIS,89,6.0NRT,300.0,9.7,N
17103,-35.912,147.951,378.1,1.9,1.3,2020-01-04,1325,Terra,MODIS,100,6.0NRT,293.1,360.8,N
11649,-36.241,149.553,383.2,1.4,1.2,2020-01-03,2345,Terra,MODIS,100,6.0NRT,310.3,241.0,D
7475,-37.264,147.994,319.8,1.0,1.0,2020-01-02,1520,Aqua,MODIS,99,6.0NRT,287.5,19.4,N
9945,-32.552,150.401,327.6,1.0,1.0,2020-01-03,1245,Terra,MODIS,100,6.0NRT,299.7,21.9,N
19312,-37.411,149.681,348.0,1.0,1.0,2020-01-04,1505,Aqua,MODIS,89,6.0NRT,290.6,55.1,N
25881,-16.054,144.747,352.2,1.2,1.1,2020-01-11,415,Aqua,MODIS,95,6.0NRT,306.8,58.3,D
33215,-32.796,122.153,313.5,1.6,1.2,2020-01-28,1420,Terra,MODIS,64,6.0NRT,298.7,18.2,N
7229,-35.454,147.886,317.0,1.0,1.0,2020-01-02,1515,Aqua,MODIS,94,6.0NRT,294.6,14.9,N
29490,-37.396,149.749,349.1,1.5,1.2,2020-01-14,25,Terra,MODIS,90,6.0NRT,297.6,91.1,D
29024,-36.824,146.883,311.8,1.5,1.2,2020-01-13,1500,Aqua,MODIS,83,6.0NRT,289.9,20.1,N
11097,-37.572,147.507,351.2,1.7,1.3,2020-01-03,2345,Terra,MODIS,95,6.0NRT,309.4,111.5,D
13868,-36.548,147.791,447.8,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,336.8,684.4,D
22627,-32.585,123.301,323.0,1.3,1.1,2020-01-07,1715,Aqua,MODIS,69,6.0NRT,296.6,25.6,N
31890,-36.735,149.397,354.8,1.6,1.2,2020-01-24,340,Aqua,MODIS,97,6.0NRT,301.1,125.2,D
7024,-36.368,147.839,322.5,1.0,1.0,2020-01-02,1515,Aqua,MODIS,100,6.0NRT,290.4,20.8,N
14354,-35.98,149.576,410.9,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,334.7,315.8,D
17400,-30.651,152.561,312.5,1.0,1.0,2020-01-04,1505,Aqua,MODIS,85,6.0NRT,296.9,8.4,N
19806,-31.328,151.291,348.5,1.9,1.4,2020-01-05,30,Terra,MODIS,91,6.0NRT,309.2,109.0,D
14674,-36.051,147.876,405.7,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,306.2,273.6,D
5164,-36.033,147.833,338.0,1.1,1.0,2020-01-02,415,Aqua,MODIS,83,6.0NRT,302.0,36.2,D
14089,-36.429,147.725,379.4,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,314.6,141.5,D
3508,-37.676,148.093,320.9,2.8,1.6,2020-01-01,1435,Aqua,MODIS,100,6.0NRT,285.7,93.3,N
14364,-35.923,149.897,342.8,1.0,1.0,2020-01-04,400,Aqua,MODIS,67,6.0NRT,316.7,33.0,D
23710,-35.45,148.225,309.4,1.0,1.0,2020-01-08,1305,Terra,MODIS,64,6.0NRT,292.3,8.2,N
11358,-34.855,150.098,392.6,1.4,1.2,2020-01-03,2345,Terra,MODIS,100,6.0NRT,314.4,304.6,D
3346,-32.337,123.548,324.2,1.0,1.0,2020-01-01,1435,Terra,MODIS,90,6.0NRT,297.6,18.5,N
24644,-31.473,151.753,334.4,1.5,1.2,2020-01-10,325,Aqua,MODIS,78,6.0NRT,308.5,28.8,D
25278,-37.37,149.207,401.1,1.0,1.0,2020-01-11,410,Aqua,MODIS,100,6.0NRT,312.5,265.2,D
30225,-37.43,147.498,313.7,1.7,1.3,2020-01-14,1540,Aqua,MODIS,88,6.0NRT,291.4,25.7,N
9042,-35.784,136.678,349.2,1.1,1.0,2020-01-03,500,Aqua,MODIS,88,6.0NRT,313.4,40.9,D
12294,-37.225,146.527,343.6,1.9,1.4,2020-01-03,2345,Terra,MODIS,90,6.0NRT,306.1,109.4,D
9311,-36.491,149.529,321.8,1.1,1.0,2020-01-03,1245,Terra,MODIS,100,6.0NRT,292.2,23.1,N
16984,-36.826,146.686,335.9,1.5,1.2,2020-01-04,1325,Terra,MODIS,100,6.0NRT,273.5,59.1,N
11205,-32.597,150.679,331.6,1.4,1.2,2020-01-03,2345,Terra,MODIS,66,6.0NRT,308.1,22.3,D
8248,-18.545,142.609,342.8,1.1,1.1,2020-01-03,40,Terra,MODIS,89,6.0NRT,309.3,32.2,D
29388,-36.806,148.149,332.3,1.2,1.1,2020-01-14,25,Terra,MODIS,86,6.0NRT,295.2,35.5,D
4958,-36.895,146.68,342.1,1.0,1.0,2020-01-02,415,Aqua,MODIS,89,6.0NRT,309.9,37.4,D
33436,-35.979,150.003,335.8,1.0,1.0,2020-01-29,355,Aqua,MODIS,79,6.0NRT,297.5,26.6,D
15843,-34.328,150.34,367.5,1.1,1.0,2020-01-04,405,Aqua,MODIS,100,6.0NRT,318.9,95.7,D
29820,-30.112,150.021,334.0,1.5,1.2,2020-01-14,1225,Terra,MODIS,100,6.0NRT,296.1,55.0,N
6467,-30.859,123.369,363.1,1.3,1.1,2020-01-02,555,Aqua,MODIS,100,6.0NRT,328.3,89.6,D
14703,-35.984,148.289,411.7,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,332.5,310.6,D
14259,-36.004,149.723,417.3,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,341.0,365.9,D
21460,-32.402,123.137,320.3,1.4,1.2,2020-01-06,1455,Terra,MODIS,78,6.0NRT,295.4,27.4,N
23883,-29.261,152.146,335.5,1.0,1.0,2020-01-09,5,Terra,MODIS,81,6.0NRT,301.4,27.3,D
12772,-37.081,148.269,344.0,1.0,1.0,2020-01-04,400,Aqua,MODIS,72,6.0NRT,307.7,32.3,D
5005,-36.241,149.515,324.0,1.3,1.1,2020-01-02,415,Aqua,MODIS,76,6.0NRT,294.0,26.2,D
19925,-32.59,121.986,338.8,1.1,1.0,2020-01-05,210,Terra,MODIS,68,6.0NRT,306.2,33.9,D
2510,-36.124,147.919,322.7,1.0,1.0,2020-01-01,1255,Terra,MODIS,100,6.0NRT,291.7,21.8,N
27717,-41.627,147.848,394.1,1.3,1.1,2020-01-13,355,Aqua,MODIS,100,6.0NRT,308.3,293.0,D
19885,-31.029,123.647,373.7,1.3,1.1,2020-01-05,205,Terra,MODIS,100,6.0NRT,316.7,157.1,D
32057,-37.703,148.941,347.4,1.0,1.0,2020-01-25,5,Terra,MODIS,93,6.0NRT,299.6,49.7,D
12501,-37.382,149.624,355.8,1.0,1.0,2020-01-04,400,Aqua,MODIS,92,6.0NRT,279.6,61.3,D
11544,-36.017,149.814,339.2,1.3,1.1,2020-01-03,2345,Terra,MODIS,85,6.0NRT,303.0,49.6,D
24841,-31.552,151.441,322.1,1.1,1.1,2020-01-10,1250,Terra,MODIS,71,6.0NRT,286.4,19.4,N
27130,-37.703,149.231,310.5,3.4,1.7,2020-01-12,1555,Aqua,MODIS,80,6.0NRT,284.8,68.6,N
9997,-31.45,152.124,311.0,1.0,1.0,2020-01-03,1245,Terra,MODIS,59,6.0NRT,294.4,8.7,N
23765,-36.636,146.557,323.3,3.0,1.7,2020-01-08,1440,Aqua,MODIS,100,6.0NRT,290.7,108.0,N
21791,-32.705,122.001,461.0,1.0,1.0,2020-01-07,155,Terra,MODIS,100,6.0NRT,328.9,853.8,D
30142,-36.808,146.932,312.1,1.5,1.2,2020-01-14,1540,Aqua,MODIS,70,6.0NRT,288.8,20.4,N
8017,-37.098,146.997,323.2,1.0,1.0,2020-01-02,1520,Aqua,MODIS,100,6.0NRT,287.2,22.3,N
25557,-36.157,149.451,434.2,1.1,1.0,2020-01-11,410,Aqua,MODIS,100,6.0NRT,320.1,581.3,D
17727,-32.609,150.259,312.8,1.1,1.0,2020-01-04,1505,Aqua,MODIS,84,6.0NRT,300.5,7.7,N
8071,-30.877,132.72,316.2,2.4,1.5,2020-01-02,1655,Aqua,MODIS,93,6.0NRT,297.2,39.9,N
3071,-32.454,122.005,310.6,1.0,1.0,2020-01-01,1435,Terra,MODIS,81,6.0NRT,296.6,8.1,N
12483,-37.391,149.626,345.8,1.0,1.0,2020-01-04,400,Aqua,MODIS,87,6.0NRT,279.1,38.9,D
8128,-35.776,136.651,374.3,1.2,1.1,2020-01-03,40,Terra,MODIS,100,6.0NRT,316.0,161.0,D
14204,-36.298,147.953,336.2,1.0,1.0,2020-01-04,400,Aqua,MODIS,73,6.0NRT,307.1,20.9,D
34271,-37.053,149.555,321.1,2.8,1.6,2020-01-30,440,Aqua,MODIS,58,6.0NRT,302.6,45.7,D
10995,-36.502,148.181,319.8,3.5,1.8,2020-01-03,1600,Aqua,MODIS,99,6.0NRT,291.0,111.5,N
31775,-34.679,150.312,370.8,1.9,1.3,2020-01-23,1535,Aqua,MODIS,100,6.0NRT,289.9,290.9,N
22709,-32.469,123.01,318.7,1.2,1.1,2020-01-07,1715,Aqua,MODIS,97,6.0NRT,296.8,19.0,N
16978,-36.834,146.705,325.6,1.5,1.2,2020-01-04,1325,Terra,MODIS,100,6.0NRT,271.5,32.3,N
31725,-36.858,149.467,304.9,2.4,1.5,2020-01-23,1220,Terra,MODIS,52,6.0NRT,285.1,26.6,N
21064,-32.549,123.397,356.2,1.1,1.1,2020-01-06,530,Aqua,MODIS,97,6.0NRT,307.9,76.8,D
17142,-35.836,147.56,389.4,1.8,1.3,2020-01-04,1325,Terra,MODIS,100,6.0NRT,305.6,449.3,N
7349,-35.939,148.249,323.5,1.0,1.0,2020-01-02,1515,Aqua,MODIS,100,6.0NRT,291.9,21.8,N
14499,-36.131,147.888,350.6,1.0,1.0,2020-01-04,400,Aqua,MODIS,71,6.0NRT,310.9,47.9,D
29141,-37.407,149.212,321.9,1.1,1.1,2020-01-13,1500,Aqua,MODIS,100,6.0NRT,291.3,22.8,N
31322,-33.161,115.728,335.0,1.0,1.0,2020-01-20,1505,Terra,MODIS,100,6.0NRT,294.4,36.3,N
1671,-37.663,148.618,351.3,1.0,1.0,2020-01-01,1255,Terra,MODIS,100,6.0NRT,292.3,65.5,N
30566,-18.064,141.884,330.6,2.3,1.5,2020-01-15,350,Aqua,MODIS,76,6.0NRT,300.1,42.6,D
17455,-31.425,151.763,342.7,1.0,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,300.6,43.6,N
33476,-35.87,149.738,330.0,1.0,1.0,2020-01-29,355,Aqua,MODIS,59,6.0NRT,299.9,19.5,D
2588,-35.913,148.323,332.5,1.0,1.0,2020-01-01,1255,Terra,MODIS,91,6.0NRT,291.5,30.2,N
15239,-35.315,150.404,355.8,1.1,1.0,2020-01-04,400,Aqua,MODIS,97,6.0NRT,317.5,56.7,D
20450,-32.286,123.241,312.9,1.7,1.3,2020-01-05,1410,Terra,MODIS,86,6.0NRT,292.9,25.6,N
8960,-35.881,136.647,344.2,1.1,1.0,2020-01-03,500,Aqua,MODIS,62,6.0NRT,315.8,31.2,D
8393,-35.894,136.614,338.0,1.2,1.1,2020-01-03,45,Terra,MODIS,83,6.0NRT,301.6,34.3,D
11637,-35.947,148.25,332.8,1.6,1.3,2020-01-03,2345,Terra,MODIS,70,6.0NRT,305.3,46.0,D
34626,-37.388,149.274,335.1,2.0,1.4,2020-01-30,1225,Terra,MODIS,100,6.0NRT,297.0,92.9,N
18235,-36.393,149.545,316.4,1.0,1.0,2020-01-04,1505,Aqua,MODIS,93,6.0NRT,286.0,15.3,N
2772,-35.14,150.566,322.0,1.1,1.0,2020-01-01,1255,Terra,MODIS,100,6.0NRT,290.4,22.2,N
34749,-36.789,149.381,311.3,2.1,1.4,2020-01-30,1540,Aqua,MODIS,82,6.0NRT,291.5,33.5,N
27117,-36.742,146.707,316.7,2.3,1.5,2020-01-12,1555,Aqua,MODIS,94,6.0NRT,288.5,52.5,N
13407,-36.937,146.854,377.8,1.1,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,320.5,142.2,D
1317,-14.659,132.149,338.4,1.9,1.3,2020-01-01,515,Aqua,MODIS,84,6.0NRT,302.2,57.2,D
33458,-35.991,149.321,336.1,1.0,1.0,2020-01-29,355,Aqua,MODIS,67,6.0NRT,318.0,17.9,D
13688,-36.441,149.633,369.6,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,314.3,97.6,D
3630,-35.759,136.692,310.4,1.1,1.1,2020-01-01,1615,Aqua,MODIS,80,6.0NRT,287.4,14.3,N
545,-34.295,149.976,365.4,1.7,1.3,2020-01-01,330,Aqua,MODIS,100,6.0NRT,297.2,199.3,D
11269,-32.734,150.1,348.2,1.5,1.2,2020-01-03,2345,Terra,MODIS,91,6.0NRT,310.9,70.9,D
10642,-37.016,147.389,310.4,1.4,1.2,2020-01-03,1245,Terra,MODIS,80,6.0NRT,292.4,16.3,N
8664,-29.422,152.146,347.0,1.7,1.3,2020-01-03,320,Aqua,MODIS,90,6.0NRT,302.4,96.0,D
19375,-37.431,149.688,346.3,1.0,1.0,2020-01-04,1505,Aqua,MODIS,90,6.0NRT,291.5,50.6,N
25610,-36.272,147.959,326.2,1.0,1.0,2020-01-11,410,Aqua,MODIS,65,6.0NRT,307.7,12.8,D
31854,-37.376,149.309,355.3,1.6,1.3,2020-01-24,335,Aqua,MODIS,98,6.0NRT,292.9,141.4,D
26264,-36.35,148.039,318.7,1.0,1.0,2020-01-11,1510,Aqua,MODIS,97,6.0NRT,287.4,17.8,N
15774,-34.795,150.375,434.4,1.1,1.0,2020-01-04,405,Aqua,MODIS,94,6.0NRT,314.9,561.8,D
10475,-37.358,148.102,303.6,1.3,1.1,2020-01-03,1245,Terra,MODIS,56,6.0NRT,292.0,9.2,N
7764,-37.715,148.995,326.7,1.0,1.0,2020-01-02,1520,Aqua,MODIS,100,6.0NRT,289.8,25.7,N
